impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-097310,A522248,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1686844,LOST,Brie,Cat,,Male,Maine Coon,Unknown,03/13/2017 12:00:00 AM,Date Lost,22100 250TH PL SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1686844,Image Copyright HLP Inc. 2017,"22100 250TH PL SE
MAPLE VALLEY, WA 98038
",
K17-097564,A522961,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1692553,LOST,Kaston,Dog,,Male,Golden Retriever,Unknown,03/27/2017 12:00:00 AM,Date Lost,8200 SE 28TH ST,MERCER ISLAND,WA,98040,MERCER ISLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1692553,Image Copyright HLP Inc. 2017,"8200 SE 28TH ST
MERCER ISLAND, WA 98040
",
K17-097914,A524169,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1699571,LOST,Bentley,Dog,,Male,Soft-Coated Wheaten Terrier,Unknown,04/13/2017 12:00:00 AM,Date Lost,12700 NE 39TH ST,BELLEVUE,WA,98005,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1699571,Image Copyright HLP Inc. 2017,"12700 NE 39TH ST
BELLEVUE, WA 98005
",
K17-097482,A522662,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1690182,LOST,Friday,Dog,,Male,Wire Fox Terrier,Unknown,03/23/2017 12:00:00 AM,Date Lost,13900 NE 128TH ST,KIRKLAND,WA,98034,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1690182,Image Copyright HLP Inc. 2017,"13900 NE 128TH ST
KIRKLAND, WA 98034
",
K17-097627,A523101,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1693451,LOST,Kitty Perry,Cat,,Female,Domestic Longhair,Unknown,03/26/2017 12:00:00 AM,Date Lost,289TH AVE AND NE 10TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1693451,Image Copyright HLP Inc. 2017,"289TH AVE AND NE 10TH ST
",
K17-098010,A524498,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524498,Meowtropolitan,Buffy Boy,Cat,5 YEARS,Neutered Male,Domestic Shorthair,Buff,04/19/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524498,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-19<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Buff Neutered Male Domestic Shorthair Cat<p></p> Age: 5 YEARS<p></p> Current Location: Meowtropolitan<p></p>"
K17-097975,A524404,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,9 DAYS,Unaltered,Domestic Shorthair,Cream,04/18/2017 12:00:00 AM,Received on,13800 TUKWILA INTERNATIONAL BLVD,TUKWILA,WA,98168,TUKWILA,47.479578,-122.283972,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524404,Image Copyright HLP Inc. 2017,"13800 TUKWILA INTERNATIONAL BLVD
TUKWILA, WA 98168
(47.479578, -122.283972)","Received on: 2017-04-18<p></p> Found Near: 13800 TUKWILA INTERNATIONAL BLVD, TUKWILA WA 98168<p></p> Description: Cream Unaltered Domestic Shorthair Cat<p></p> Age: 9 DAYS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-097583,A523030,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523030,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dexter,Dog,8 YEARS,Neutered Male,Pit Bull,Fawn / White,03/29/2017 12:00:00 AM,Received on,28800 NE 52ND ST,CARNATION,WA,98014,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523030,Image Copyright HLP Inc. 2017,"28800 NE 52ND ST
CARNATION, WA 98014
","Received on: 2017-03-29<p></p> Found Near: 28800 NE 52ND ST, CARNATION WA 98014<p></p> Description: Fawn / White Neutered Male Pit Bull Dog<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098140,A524826,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524826,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524826,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-25<p></p> Description: White<p></p>  Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-097691,A523180,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1694597,LOST,Theo,Cat,,Female,American Shorthair,Unknown,03/27/2017 12:00:00 AM,Date Lost,15TH AVE & 223RD ST SE (BOTHELL),,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1694597,Image Copyright HLP Inc. 2017,"15TH AVE &amp; 223RD ST SE (BOTHELL)
",
K17-097534,A522860,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Dog,NO AGE,Female,Jack Russell Terrier,White / Brown,03/27/2017 12:00:00 AM,Received on,4500 E MERCER WAY,MERCER ISLAND,WA,98040,MERCER ISLAND,,,,Image Copyright HLP Inc. 2017,"4500 E MERCER WAY
MERCER ISLAND, WA 98040
","Received on: 2017-03-27<p></p> Found Near: 4500 E MERCER WAY, MERCER ISLAND WA 98040<p></p> Description: White / Brown Female Jack Russell Terrier Dog<p></p> Age: NO AGE<p></p>"
K17-097865,A523989,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,18 DAYS,Unaltered,Domestic Shorthair,Brn Tabby,04/12/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523989,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-12<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p></p> Age: 18 DAYS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-097582,A523021,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,1 YEAR 1 MONTH,Male,Domestic Shorthair,Brn Tabby,03/29/2017 12:00:00 AM,Received on,22000 93RD AVE S,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2017,"22000 93RD AVE S
KENT, WA 98031
","Received on: 2017-03-29<p></p> Found Near: 22000 93RD AVE S, KENT WA 98031<p></p> Description: Brn Tabby Male Domestic Shorthair Cat<p></p> Age: 1 YEAR 1 MONTH<p></p>"
K17-097680,A523166,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1694383,LOST,Meatball,Cat,,Female,Domestic Mediumhair,Unknown,03/30/2017 12:00:00 AM,Date Lost,ROXBURY & 28TH AVE SW,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1694383,Image Copyright HLP Inc. 2017,"ROXBURY &amp; 28TH AVE SW
",
K17-097839,A523867,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A523867,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lex,Dog,8 YEARS,Neutered Male,Catahoula Leopard Hound / Great Dane,Br Brindle / White,04/10/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523867,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-10<p></p> Description: Br Brindle / White<p></p>  Neutered Male Catahoula Leopard Hound / Great Dane Dog<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Lex and I am available for adoption at the RASKC Pet Adoption Center in Kent <p></p><p></p>I was brought in by my previous owner on April 10, 2017 because they were unable to care for me. I have been around children and done well with them but can be very nervous and uneasy with strangers.<p></p><p></p>The volunteers who take me out every day have let staff know that I have an absolutely stellar personality! I am king, loving, and surprisingly playful at my age!<p></p><p></p>I am a very smart dog!  I have shown my caregivers that I already know &quot;sit,&quot; &quot;down,&quot; and &quot;come.&quot; I am very strong on leash and have a history of pulling hard towards other dogs that I see. For my own safety and the safety of others I will do best with an experienced dog owner that can help me learn more manners on leash.<p></p><p></p>My caregivers have observed that I might not get along with other dogs.  I may do best as the only dog in my new home, or need to meet other dogs in the home first.<p></p><p></p>My personality color is GREEN.  I am an adaptable dog who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p> Adoption Fee: $200.00<p></p>"
K17-097868,A523992,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,18 DAYS,Unaltered,Domestic Shorthair,Brn Tabby,04/12/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523992,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-12<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p></p> Age: 18 DAYS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-098009,A524497,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524497,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Pippa,Cat,7 YEARS,Spayed Female,Domestic Shorthair,Gray / White,04/19/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524497,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-19<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Gray / White Spayed Female Domestic Shorthair Cat<p></p> Age: 7 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>"
K17-098091,A524634,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524634,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,8 YEARS,Male,Pit Bull,Brown / White,04/23/2017 12:00:00 AM,Received on,13000 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98178,KING COUNTY,47.486258,-122.25582,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524634,Image Copyright HLP Inc. 2017,"13000 MARTIN LUTHER KING JR WAY S
SEATTLE, WA 98178
(47.486258, -122.25582)","Received on: 2017-04-23<p></p> Found Near: 13000 MARTIN LUTHER KING JR WAY S, SEATTLE WA 98178<p></p> Description: Brown / White Male Pit Bull Dog<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097335,A522302,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1687368,LOST,Kosmo,Dog,,Female,German Shepherd,Unknown,03/16/2017 12:00:00 AM,Date Lost,9700 NE 15TH ST,CLYDE HILL,WA,98004,CLYDE HILL,47.623586,-122.210514,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1687368,Image Copyright HLP Inc. 2017,"9700 NE 15TH ST
CLYDE HILL, WA 98004
(47.623586, -122.210514)",
K17-097520,A522759,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1691539,LOST,Tashi,Dog,,Female,Cocker Spaniel,Unknown,03/23/2017 12:00:00 AM,Date Lost,RAINIER AVENUE & 54TH AVENUE S,SEATTLE,WA,98118,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1691539,Image Copyright HLP Inc. 2017,"RAINIER AVENUE &amp; 54TH AVENUE S
SEATTLE, WA 98118
",
K17-097440,A522517,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A522517,Meowtropolitan,Salem,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Black,03/21/2017 12:00:00 AM,Received on,22700 SE 448TH ST,ENUMCLAW,WA,98022,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A522517,Image Copyright HLP Inc. 2017,"22700 SE 448TH ST
ENUMCLAW, WA 98022
","Received on: 2017-03-21<p></p> Found Near: 22700 SE 448TH ST, ENUMCLAW WA 98022<p></p> Description: Black Neutered Male Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: Meowtropolitan<p></p>"
K17-098140,A524826,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524826,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524826,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098145,A524831,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524831,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524831,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098052,A418090,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A418090,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lilly,Cat,7 YEARS,Spayed Female,Domestic Longhair,Brn Tabby / White,04/21/2017 12:00:00 AM,Received on,9700 8TH AVE SW,SEATTLE,WA,98106,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A418090,Image Copyright HLP Inc. 2017,"9700 8TH AVE SW
SEATTLE, WA 98106
","Received on: 2017-04-21<p></p> Found Near: 9700 8TH AVE SW, SEATTLE WA 98106<p></p> Description: Brn Tabby / White Spayed Female Domestic Longhair Cat<p></p> Age: 7 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097400,A085908,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A085908,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Miska,Cat,5 YEARS,Spayed Female,Savannah,Brn Tabby,03/20/2017 12:00:00 AM,Received on,17900 NE 13TH ST,BELLEVUE,WA,98008,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A085908,Image Copyright HLP Inc. 2017,"17900 NE 13TH ST
BELLEVUE, WA 98008
","Received on: 2017-03-20<p></p> Found Near: 17900 NE 13TH ST, BELLEVUE WA 98008<p></p> Description: Brn Tabby Spayed Female Savannah Cat<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097872,A523998,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523998,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Milo,Dog,3 YEARS,Neutered Male,Terrier / Mix,Tan / Brown,04/12/2017 12:00:00 AM,Received on,25700 198TH PL SE,COVINGTON,WA,98042,COVINGTON,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523998,Image Copyright HLP Inc. 2017,"25700 198TH PL SE
COVINGTON, WA 98042
","Received on: 2017-04-12<p></p> Found Near: 25700 198TH PL SE, COVINGTON WA 98042<p></p> Description: Tan / Brown Neutered Male Terrier / Mix Dog<p></p> Age: 3 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>"
K16-095767,A260496,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Rascal,Cat,14 YEARS,Neutered Male,Domestic Mediumhair,White / Gray,12/14/2016 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A260496,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)",Received on: 2016-12-14<p></p> Description: White / Gray Neutered Male Domestic Mediumhair Cat<p></p> Age: 14 YEARS<p></p> Current Location: In RASKC Foster Home <p></p><p></p>Adoption Fee: $30.00<p></p>
K17-097336,A522303,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1687387,In Public Home,,Dog,,Female,Labrador Retriever,Black,03/16/2017 12:00:00 AM,Date Found,14000 81ST PL NE,KIRKLAND,WA,98034,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1687387,Image Copyright HLP Inc. 2017,"14000 81ST PL NE
KIRKLAND, WA 98034
",
K17-097784,A084788,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A084788,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Wat Che,Dog,5 YEARS,Spayed Female,German Shepherd,Black / Tan,04/06/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A084788,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-06<p></p> Description: Black / Tan<p></p>  Spayed Female German Shepherd Dog<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Wat Che and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by my previous owner on 4/6/17 because I went after a cat and a small dog.<p></p><p></p>My personality color is GREEN.  I am an adaptable dog who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am a very smart dog!  I have shown my caregivers that I already know how to &quot;sit&quot; and &quot;shake&quot;. <p></p><p></p>I am full of energy and I love to play!  I tend to calm down more when the people around me stay calm.  I do best when I have lots of exercise and something to keep my mind busy.<p></p><p></p>My caregivers have observed that I might not get along with other dogs.  I may do best as the only dog in my new home, or need to meet other dogs in the home first. I also need to be in a home with no small animals, like cats or rabbits.<p></p><p></p>I have been known to be an escape artist and chase neighbors pets, so I need a very secure fence.<p></p><p></p><p></p><p></p> Adoption Fee: $250.00<p></p>"
K17-098096,A524637,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,5 WEEKS,Unaltered,Domestic Shorthair,Gray,04/23/2017 12:00:00 AM,Received on,4700 S 172ND PL,SEATAC,WA,98188,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524637,Image Copyright HLP Inc. 2017,"4700 S 172ND PL
SEATAC, WA 98188
","Received on: 2017-04-23<p></p> Found Near: 4700 S 172ND PL, SEATAC WA 98188<p></p> Description: Gray Unaltered Domestic Shorthair Cat<p></p> Age: 5 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
